From	To	Species	Gene Name
76498	ENSMUSG00000023909	Mus musculus	progestin and adipoQ receptor family member IV(Paqr4)
74112	ENSMUSG00000025616	Mus musculus	ubiquitin specific peptidase 16(Usp16)
76499	ENSMUSG00000033392	Mus musculus	CLIP associating protein 2(Clasp2)
74111	ENSMUSG00000029594	Mus musculus	RNA binding motif protein 19(Rbm19)
74114	ENSMUSG00000003623	Mus musculus	carnitine O-octanoyltransferase(Crot)
107392	ENSMUSG00000080268	Mus musculus	breast cancer metastasis-suppressor 1(Brms1)
76497	ENSMUSG00000036398	Mus musculus	protein phosphatase 1, regulatory (inhibitor) subunit 11(Ppp1r11)
68449	ENSMUSG00000042492	Mus musculus	TBC1 domain family, member 10b(Tbc1d10b)
74116	ENSMUSG00000024011	Mus musculus	peptidase inhibitor 16(Pi16)
332221	ENSMUSG00000023902	Mus musculus	zinc finger and SCAN domain containing 10(Zscan10)
74117	ENSMUSG00000026341	Mus musculus	ARP3 actin-related protein 3(Actr3)
242642	ENSMUSG00000043155	Mus musculus	4-hydroxyphenylpyruvate dioxygenase-like(Hpdl)
242646	ENSMUSG00000047671	Mus musculus	Tctex1 domain containing 4(Tctex1d4)
241516	ENSMUSG00000075249	Mus musculus	fibrous sheath-interacting protein 2(Fsip2)
218454	ENSMUSG00000045312	Mus musculus	lipoma HMGIC fusion partner-like 2(Lhfpl2)
241514	ENSMUSG00000070866	Mus musculus	zinc finger protein 804A(Zfp804a)
74125	ENSMUSG00000032468	Mus musculus	armadillo repeat containing 8(Armc8)
74123	ENSMUSG00000023991	Mus musculus	forkhead box P4(Foxp4)
74122	ENSMUSG00000030095	Mus musculus	transmembrane protein 43(Tmem43)
74121	ENSMUSG00000027380	Mus musculus	acyl-Coenzyme A oxidase-like(Acoxl)
13885	ENSMUSG00000021996	Mus musculus	esterase D/formylglutathione hydrolase(Esd)
74120	ENSMUSG00000022529	Mus musculus	zinc finger protein 263(Zfp263)
13884	ENSMUSG00000057400	Mus musculus	carboxylesterase 1C(Ces1c)
68436	ENSMUSG00000062006	Mus musculus	ribosomal protein L34(Rpl34)
74129	ENSMUSG00000042102	Mus musculus	dimethylglycine dehydrogenase precursor(Dmgdh)
68434	ENSMUSG00000097222	Mus musculus	RIKEN cDNA 1010001N08 gene(1010001N08Rik)
74127	ENSMUSG00000037185	Mus musculus	keratin 80(Krt80)
68431	ENSMUSG00000025226	Mus musculus	F-box and leucine-rich repeat protein 15(Fbxl15)
74126	ENSMUSG00000024807	Mus musculus	synovial apoptosis inhibitor 1, synoviolin(Syvn1)
218440	ENSMUSG00000045034	Mus musculus	ankyrin repeat domain 34B(Ankrd34b)
68460	ENSMUSG00000033044	Mus musculus	dehydrogenase/reductase (SDR family) member 7C(Dhrs7c)
68463	ENSMUSG00000023939	Mus musculus	mitochondrial ribosomal protein L14(Mrpl14)
81702	ENSMUSG00000055204	Mus musculus	ankyrin repeat domain 17(Ankrd17)
81703	ENSMUSG00000034271	Mus musculus	Jun dimerization protein 2(Jdp2)
241547	ENSMUSG00000027243	Mus musculus	harbinger transposase derived 1(Harbi1)
218442	ENSMUSG00000021703	Mus musculus	serine incorporator 5(Serinc5)
218441	ENSMUSG00000021706	Mus musculus	zinc finger, FYVE domain containing 16(Zfyve16)
13870	ENSMUSG00000003549	Mus musculus	excision repair cross-complementing rodent repair deficiency, complementation group 1(Ercc1)
13872	ENSMUSG00000024382	Mus musculus	excision repair cross-complementing rodent repair deficiency, complementation group 3(Ercc3)
13871	ENSMUSG00000030400	Mus musculus	excision repair cross-complementing rodent repair deficiency, complementation group 2(Ercc2)
74132	ENSMUSG00000029634	Mus musculus	ring finger protein (C3H2C3 type) 6(Rnf6)
13874	ENSMUSG00000029377	Mus musculus	epiregulin(Ereg)
74131	ENSMUSG00000031101	Mus musculus	SAM and SH3 domain containing 3(Sash3)
13876	ENSMUSG00000040732	Mus musculus	avian erythroblastosis virus E-26 (v-ets) oncogene related(Erg)
74134	ENSMUSG00000040703	Mus musculus	cytochrome P450, family 2, subfamily s, polypeptide 1(Cyp2s1)
74133	ENSMUSG00000020495	Mus musculus	smg-8 homolog, nonsense mediated mRNA decay factor (C. elegans)(Smg8)
13875	ENSMUSG00000040857	Mus musculus	Ets2 repressor factor(Erf)
74136	ENSMUSG00000020823	Mus musculus	SEC14-like lipid binding 1(Sec14l1)
69917	ENSMUSG00000025374	Mus musculus	nucleic acid binding protein 2(Nabp2)
13877	ENSMUSG00000021131	Mus musculus	enhancer of rudimentary homolog (Drosophila)(Erh)
242681	ENSMUSG00000089687	Mus musculus	RAB42, member RAS oncogene family(Rab42)
74137	ENSMUSG00000009772	Mus musculus	NUAK family, SNF1-like kinase, 2(Nuak2)
68465	ENSMUSG00000030168	Mus musculus	adiponectin receptor 2(Adipor2)
69912	ENSMUSG00000040034	Mus musculus	nucleoporin 43(Nup43)
68468	ENSMUSG00000092586	Mus musculus	lymphocyte antigen 6 complex, locus G6C(Ly6g6c)
106200	ENSMUSG00000022498	Mus musculus	thioredoxin domain containing 11(Txndc11)
242667	ENSMUSG00000042388	Mus musculus	discs, large (Drosophila) homolog-associated protein 3(Dlgap3)
106205	ENSMUSG00000037965	Mus musculus	zinc finger CCCH type containing 7 A(Zc3h7a)
242662	ENSMUSG00000032890	Mus musculus	regulating synaptic membrane exocytosis 3(Rims3)
195236	ENSMUSG00000016982	Mus musculus	POM121 membrane glycoprotein-like 2 (rat)(Pom121l2)
242669	ENSMUSG00000028789	Mus musculus	antizyme inhibitor 2(Azin2)
69903	ENSMUSG00000044562	Mus musculus	Ras interacting protein 1(Rasip1)
13863	ENSMUSG00000026937	Mus musculus	lipocalin 5(Lcn5)
74143	ENSMUSG00000038084	Mus musculus	optic atrophy 1(Opa1)
69902	ENSMUSG00000028741	Mus musculus	mRNA turnover 4, ribosome maturation factor(Mrto4)
74142	ENSMUSG00000041168	Mus musculus	lon peptidase 1, mitochondrial(Lonp1)
13861	ENSMUSG00000052234	Mus musculus	eosinophil peroxidase(Epx)
74140	ENSMUSG00000002320	Mus musculus	transmembrane 9 superfamily member 1(Tm9sf1)
13860	ENSMUSG00000015766	Mus musculus	epidermal growth factor receptor pathway substrate 8(Eps8)
81701	ENSMUSG00000015467	Mus musculus	EGF-like domain 8(Egfl8)
74147	ENSMUSG00000022853	Mus musculus	enoyl-Coenzyme A, hydratase/3-hydroxyacyl Coenzyme A dehydrogenase(Ehhadh)
13867	ENSMUSG00000018166	Mus musculus	erb-b2 receptor tyrosine kinase 3(Erbb3)
69906	ENSMUSG00000022299	Mus musculus	solute carrier family 25, member 32(Slc25a32)
13866	ENSMUSG00000062312	Mus musculus	erb-b2 receptor tyrosine kinase 2(Erbb2)
74145	ENSMUSG00000039109	Mus musculus	coagulation factor XIII, A1 subunit(F13a1)
13865	ENSMUSG00000069171	Mus musculus	nuclear receptor subfamily 2, group F, member 1(Nr2f1)
69908	ENSMUSG00000003411	Mus musculus	RAB3B, member RAS oncogene family(Rab3b)
13864	ENSMUSG00000002393	Mus musculus	nuclear receptor subfamily 2, group F, member 6(Nr2f6)
74144	ENSMUSG00000032125	Mus musculus	roundabout guidance receptor 4(Robo4)
74149	ENSMUSG00000071266	Mus musculus	zinc finger protein 946(Zfp946)
68453	ENSMUSG00000022579	Mus musculus	GPI-anchored HDL-binding protein 1(Gpihbp1)
13869	ENSMUSG00000062209	Mus musculus	erb-b2 receptor tyrosine kinase 4(Erbb4)
74148	ENSMUSG00000020741	Mus musculus	clustered mitochondria (cluA/CLU1) homolog(Cluh)
434064	ENSMUSG00000084950	Mus musculus	predicted gene 5577(Gm5577)
434065	ENSMUSG00000090254	Mus musculus	predicted gene 1965(Gm1965)
69900	ENSMUSG00000020818	Mus musculus	major facilitator superfamily domain containing 11(Mfsd11)
68458	ENSMUSG00000037166	Mus musculus	protein phosphatase 1, regulatory (inhibitor) subunit 14A(Ppp1r14a)
75209	ENSMUSG00000051111	Mus musculus	synaptic vesicle glycoprotein 2c(Sv2c)
76459	ENSMUSG00000032373	Mus musculus	carbonic anhydrase 12(Car12)
76457	ENSMUSG00000068114	Mus musculus	coiled-coil domain containing 134(Ccdc134)
76454	ENSMUSG00000052934	Mus musculus	F-box protein 31(Fbxo31)
75202	ENSMUSG00000080316	Mus musculus	sperm acrosome associated 6(Spaca6)
76453	ENSMUSG00000039405	Mus musculus	protease, serine 23(Prss23)
208211	ENSMUSG00000039427	Mus musculus	asparagine-linked glycosylation 1 (beta-1,4-mannosyltransferase)(Alg1)
208213	ENSMUSG00000034324	Mus musculus	transmembrane protein 132C(Tmem132c)
241568	ENSMUSG00000050587	Mus musculus	leucine rich repeat containing 4C(Lrrc4c)
333789	ENSMUSG00000037795	Mus musculus	NEDD4 binding protein 2(N4bp2)
75219	ENSMUSG00000047205	Mus musculus	dual specificity phosphatase 18(Dusp18)
76469	ENSMUSG00000047419	Mus musculus	cardiomyopathy associated 5(Cmya5)
75216	ENSMUSG00000061533	Mus musculus	centrosomal protein 128(Cep128)
12799	ENSMUSG00000006782	Mus musculus	2',3'-cyclic nucleotide 3' phosphodiesterase(Cnp)
12798	ENSMUSG00000004665	Mus musculus	calponin 2(Cnn2)
75212	ENSMUSG00000070426	Mus musculus	ring finger protein 121(Rnf121)
12797	ENSMUSG00000001349	Mus musculus	calponin 1(Cnn1)
76467	ENSMUSG00000023094	Mus musculus	methionine sulfoxide reductase B2(Msrb2)
12796	ENSMUSG00000038357	Mus musculus	cathelicidin antimicrobial peptide(Camp)
75210	ENSMUSG00000038500	Mus musculus	proline-rich polypeptide 3(Prr3)
12795	ENSMUSG00000028680	Mus musculus	polo-like kinase 3(Plk3)
12794	ENSMUSG00000024873	Mus musculus	cornichon family AMPA receptor auxiliary protein 2(Cnih2)
76464	ENSMUSG00000027326	Mus musculus	kinetochore scaffold 1(Knl1)
12793	ENSMUSG00000015759	Mus musculus	cornichon family AMPA receptor auxiliary protein 1(Cnih1)
242602	ENSMUSG00000054362	Mus musculus	lymphocyte expansion molecule(Lexm)
242603	ENSMUSG00000047636	Mus musculus	CUB domain containing protein 2(Cdcp2)
242608	ENSMUSG00000028600	Mus musculus	podocan(Podn)
208228	ENSMUSG00000003348	Mus musculus	MOB kinase activator 3A(Mob3a)
242607	ENSMUSG00000008932	Mus musculus	solute carrier family 1 (glutamate transporter), member 7(Slc1a7)
241556	ENSMUSG00000027217	Mus musculus	tetraspanin 18(Tspan18)
12785	ENSMUSG00000030057	Mus musculus	cellular nucleic acid binding protein(Cnbp)
75221	ENSMUSG00000063904	Mus musculus	dipeptidylpeptidase 3(Dpp3)
76479	ENSMUSG00000025024	Mus musculus	survival motor neuron domain containing 1(Smndc1)
76478	ENSMUSG00000035439	Mus musculus	4HAUS augmin-like complex, subunit 8(Haus8)
12789	ENSMUSG00000005864	Mus musculus	cyclic nucleotide gated channel alpha 2(Cnga2)
76477	ENSMUSG00000015354	Mus musculus	procollagen C-endopeptidase enhancer 2(Pcolce2)
12788	ENSMUSG00000067220	Mus musculus	cyclic nucleotide gated channel alpha 1(Cnga1)
241589	ENSMUSG00000068373	Mus musculus	RIKEN cDNA D430041D05 gene(D430041D05Rik)
12774	ENSMUSG00000079227	Mus musculus	chemokine (C-C motif) receptor 5(Ccr5)
76484	ENSMUSG00000066129	Mus musculus	kinase non-catalytic C-lobe domain (KIND) containing 1(Kndc1)
12773	ENSMUSG00000047898	Mus musculus	chemokine (C-C motif) receptor 4(Ccr4)
76483	ENSMUSG00000002279	Mus musculus	lipase maturation factor 1(Lmf1)
12772	ENSMUSG00000049103	Mus musculus	chemokine (C-C motif) receptor 2(Ccr2)
76486	ENSMUSG00000044678	Mus musculus	lymphocyte antigen 6 complex, locus K(Ly6k)
12771	ENSMUSG00000035448	Mus musculus	chemokine (C-C motif) receptor 3(Ccr3)
76485	ENSMUSG00000021916	Mus musculus	glycosyltransferase 8 domain containing 1(Glt8d1)
12778	ENSMUSG00000044337	Mus musculus	atypical chemokine receptor 3(Ackr3)
83885	ENSMUSG00000050304	Mus musculus	solute carrier family 25 (mitochondrial carrier, ornithine transporter) member 2(Slc25a2)
12777	ENSMUSG00000044052	Mus musculus	chemokine (C-C motif) receptor 10(Ccr10)
76487	ENSMUSG00000050423	Mus musculus	protein phosphatase 1, regulatory (inhibitor) subunit 3G(Ppp1r3g)
12776	ENSMUSG00000042262	Mus musculus	chemokine (C-C motif) receptor 8(Ccr8)
75234	ENSMUSG00000028793	Mus musculus	ring finger protein 19B(Rnf19b)
12775	ENSMUSG00000037944	Mus musculus	chemokine (C-C motif) receptor 7(Ccr7)
76482	ENSMUSG00000024410	Mus musculus	RIKEN cDNA 3110002H16 gene(3110002H16Rik)
241576	ENSMUSG00000048058	Mus musculus	low density lipoprotein receptor class A domain containing 3(Ldlrad3)
12764	ENSMUSG00000030282	Mus musculus	cytidine monophospho-N-acetylneuraminic acid synthetase(Cmas)
12765	ENSMUSG00000026180	Mus musculus	chemokine (C-X-C motif) receptor 2(Cxcr2)
76413	ENSMUSG00000031509	Mus musculus	RIKEN cDNA 1700016D06 gene(1700016D06Rik)
12766	ENSMUSG00000050232	Mus musculus	chemokine (C-X-C motif) receptor 3(Cxcr3)
12767	ENSMUSG00000045382	Mus musculus	chemokine (C-X-C motif) receptor 4(Cxcr4)
76411	ENSMUSG00000007867	Mus musculus	intraflagellar transport 43(Ift43)
74199	ENSMUSG00000024076	Mus musculus	vitrin(Vit)
74198	ENSMUSG00000004947	Mus musculus	deltex 2, E3 ubiquitin ligase(Dtx2)
74197	ENSMUSG00000022828	Mus musculus	general transcription factor II E, polypeptide 1 (alpha subunit)(Gtf2e1)
74196	ENSMUSG00000024078	Mus musculus	tetratricopeptide repeat domain 27(Ttc27)
12763	ENSMUSG00000016756	Mus musculus	cytidine monophospho-N-acetylneuraminic acid hydroxylase(Cmah)
74195	ENSMUSG00000022031	Mus musculus	elongator acetyltransferase complex subunit 3(Elp3)
69976	ENSMUSG00000027207	Mus musculus	galactokinase 2(Galk2)
106264	ENSMUSG00000107002	Mus musculus	RIKEN cDNA 0610012G03 gene(0610012G03Rik)
13819	ENSMUSG00000024140	Mus musculus	endothelial PAS domain protein 1(Epas1)
76419	ENSMUSG00000045709	Mus musculus	smal lysine rich protein 1, pseudogene(Smkr-ps)
12768	ENSMUSG00000025804	Mus musculus	chemokine (C-C motif) receptor 1(Ccr1)
76416	ENSMUSG00000036214	Mus musculus	zinc ribbon domain containing 1, antisense(Znrd1as)
80879	ENSMUSG00000025161	Mus musculus	solute carrier family 16 (monocarboxylic acid transporters), member 3(Slc16a3)
12769	ENSMUSG00000029530	Mus musculus	chemokine (C-C motif) receptor 9(Ccr9)
80877	ENSMUSG00000028080	Mus musculus	LPS-responsive beige-like anchor(Lrba)
76415	ENSMUSG00000046826	Mus musculus	family with sequence similarity 187, member B(Fam187b)
13813	ENSMUSG00000032446	Mus musculus	eomesodermin(Eomes)
80886	ENSMUSG00000005204	Mus musculus	SUMO/sentrin specific peptidase 3(Senp3)
80884	ENSMUSG00000025268	Mus musculus	melanoma antigen, family D, 2(Maged2)
107305	ENSMUSG00000048832	Mus musculus	vacuolar protein sorting 37C(Vps37c)
80885	ENSMUSG00000045502	Mus musculus	hydroxycarboxylic acid receptor 2(Hcar2)
80883	ENSMUSG00000059857	Mus musculus	netrin G1(Ntng1)
80880	ENSMUSG00000042099	Mus musculus	KN motif and ankyrin repeat domains 3(Kank3)
74194	ENSMUSG00000017144	Mus musculus	Rho family GTPase 3(Rnd3)
74191	ENSMUSG00000036362	Mus musculus	purinergic receptor P2Y, G-protein coupled 13(P2ry13)
74192	ENSMUSG00000026755	Mus musculus	actin related protein 2/3 complex, subunit 5-like(Arpc5l)
74190	ENSMUSG00000021280	Mus musculus	exocyst complex component 3-like 4(Exoc3l4)
76421	ENSMUSG00000089798	Mus musculus	RIKEN cDNA 1700028K03 gene(1700028K03Rik)
75258	ENSMUSG00000050702	Mus musculus	RIKEN cDNA 4930563M21 gene(4930563M21Rik)
12753	ENSMUSG00000029238	Mus musculus	circadian locomotor output cycles kaput(Clock)
75255	ENSMUSG00000026729	Mus musculus	RIKEN cDNA 4930562F07 gene(4930562F07Rik)
13801	ENSMUSG00000029286	Mus musculus	enamelin(Enam)
13800	ENSMUSG00000022995	Mus musculus	enabled homolog (Drosophila)(Enah)
12751	ENSMUSG00000030894	Mus musculus	tripeptidyl peptidase I(Tpp1)
12752	ENSMUSG00000030720	Mus musculus	ceroid lipofuscinosis, neuronal 3, juvenile (Batten, Spielmeyer-Vogt disease)(Cln3)
12750	ENSMUSG00000020385	Mus musculus	CDC like kinase 4(Clk4)
76429	ENSMUSG00000030946	Mus musculus	phospholysine phosphohistidine inorganic pyrophosphate phosphatase(Lhpp)
13807	ENSMUSG00000004267	Mus musculus	enolase 2, gamma neuronal(Eno2)
13806	ENSMUSG00000063524	Mus musculus	enolase 1, alpha non-neuron(Eno1)
13809	ENSMUSG00000028024	Mus musculus	glutamyl aminopeptidase(Enpep)
107321	ENSMUSG00000024696	Mus musculus	leupaxin(Lpxn)
13808	ENSMUSG00000060600	Mus musculus	enolase 3, beta muscle(Eno3)
434003	ENSMUSG00000084973	Mus musculus	predicted gene 13848(Gm13848)
12759	ENSMUSG00000022037	Mus musculus	clusterin(Clu)
76425	ENSMUSG00000027573	Mus musculus	GID complex subunit 8(Gid8)
13803	ENSMUSG00000041773	Mus musculus	ectodermal-neural cortex 1(Enc1)
76426	ENSMUSG00000027505	Mus musculus	family with sequence similarity 209(Fam209)
69962	ENSMUSG00000041396	Mus musculus	methyltransferase like 18(Mettl18)
12757	ENSMUSG00000028478	Mus musculus	clathrin, light polypeptide (Lca)(Clta)
69961	ENSMUSG00000036114	Mus musculus	ribonuclease P/MRP 25 subunit-like(Rpp25l)
13805	ENSMUSG00000026814	Mus musculus	endoglin(Eng)
13804	ENSMUSG00000015337	Mus musculus	endonuclease G(Endog)
12740	ENSMUSG00000047501	Mus musculus	claudin 4(Cldn4)
12741	ENSMUSG00000041378	Mus musculus	claudin 5(Cldn5)
81799	ENSMUSG00000058914	Mus musculus	C1q and tumor necrosis factor related protein 3(C1qtnf3)
76432	ENSMUSG00000097354	Mus musculus	RIKEN cDNA 2310001H17 gene(2310001H17Rik)
12745	ENSMUSG00000002190	Mus musculus	calmegin(Clgn)
75269	ENSMUSG00000051788	Mus musculus	RIKEN cDNA 4930564D02 gene(4930564D02Rik)
76438	ENSMUSG00000039316	Mus musculus	raftlin lipid raft linker 1(Rftn1)
69994	ENSMUSG00000040715	Mus musculus	regulatory solute carrier protein, family 1, member 1(Rsc1a1)
12747	ENSMUSG00000026034	Mus musculus	CDC-like kinase 1(Clk1)
69993	ENSMUSG00000004633	Mus musculus	chimerin 2(Chn2)
12748	ENSMUSG00000068917	Mus musculus	CDC-like kinase 2(Clk2)
107328	ENSMUSG00000047656	Mus musculus	tRNA phosphotransferase 1(Trpt1)
75275	ENSMUSG00000041255	Mus musculus	transmembrane and coiled-coil domains 5B(Tmco5b)
75276	ENSMUSG00000034683	Mus musculus	protein phosphatase 1, regulatory (inhibitor) subunit 1C(Ppp1r1c)
76441	ENSMUSG00000040260	Mus musculus	dishevelled associated activator of morphogenesis 2(Daam2)
75273	ENSMUSG00000018921	Mus musculus	proline, glutamic acid and leucine rich protein 1(Pelp1)
12733	ENSMUSG00000033770	Mus musculus	chloride channel, voltage-sensitive Ka(Clcnka)
76444	ENSMUSG00000045109	Mus musculus	keratin associated protein 4-7(Krtap4-7)
73010	ENSMUSG00000044067	Mus musculus	G protein-coupled receptor 22(Gpr22)
80889	ENSMUSG00000070462	Mus musculus	mesoderm development candidate 1(Mesdc1)
12737	ENSMUSG00000022512	Mus musculus	claudin 1(Cldn1)
80888	ENSMUSG00000041548	Mus musculus	heat shock protein 8(Hspb8)
12738	ENSMUSG00000047230	Mus musculus	claudin 2(Cldn2)
76448	ENSMUSG00000034595	Mus musculus	protein phosphatase 1, regulatory subunit 18(Ppp1r18)
69983	ENSMUSG00000027790	Mus musculus	sucrase isomaltase (alpha-glucosidase)(Sis)
69982	ENSMUSG00000053030	Mus musculus	serine peptidase inhibitor, Kazal type 2(Spink2)
105203	ENSMUSG00000033799	Mus musculus	family with sequence similarity 208, member B(Fam208b)
106298	ENSMUSG00000022682	Mus musculus	RRN3 RNA polymerase I transcription factor homolog (yeast)(Rrn3)
73016	ENSMUSG00000040680	Mus musculus	kringle containing transmembrane protein 2(Kremen2)
69987	ENSMUSG00000026809	Mus musculus	sperm acrosome associated 9(Spaca9)
80891	ENSMUSG00000015852	Mus musculus	Fc receptor-like S, scavenger receptor(Fcrls)
80892	ENSMUSG00000025255	Mus musculus	zinc finger homeodomain 4(Zfhx4)
80893	ENSMUSG00000032268	Mus musculus	transmembrane protease, serine 5 (spinesin)(Tmprss5)
107338	ENSMUSG00000025224	Mus musculus	golgi-specific brefeldin A-resistance factor 1(Gbf1)
69981	ENSMUSG00000032328	Mus musculus	transmembrane protein 30A(Tmem30a)
80898	ENSMUSG00000021583	Mus musculus	endoplasmic reticulum aminopeptidase 1(Erap1)
75272	ENSMUSG00000022002	Mus musculus	glutamate rich 6B(Erich6b)
80890	ENSMUSG00000027993	Mus musculus	tripartite motif-containing 2(Trim2)
217364	ENSMUSG00000033857	Mus musculus	endo-beta-N-acetylglucosaminidase(Engase)
216233	ENSMUSG00000020027	Mus musculus	suppressor of cytokine signaling 2(Socs2)
217366	ENSMUSG00000025145	Mus musculus	leucine rich repeat containing 45(Lrrc45)
217365	ENSMUSG00000039703	Mus musculus	NPL4 homolog, ubiquitin recognition factor(Nploc4)
217369	ENSMUSG00000039321	Mus musculus	urotensin 2 receptor(Uts2r)
353047	ENSMUSG00000034247	Mus musculus	pleckstrin homology domain containing, family M (with RUN domain) member 1(Plekhm1)
216227	ENSMUSG00000019935	Mus musculus	solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 8(Slc17a8)
73032	ENSMUSG00000007944	Mus musculus	tetratricopeptide repeat domain 9B(Ttc9b)
217379	ENSMUSG00000020634	Mus musculus	UBX domain protein 2A(Ubxn2a)
217378	ENSMUSG00000020657	Mus musculus	DnaJ heat shock protein family (Hsp40) member C27(Dnajc27)
217371	ENSMUSG00000025170	Mus musculus	Rab40B, member RAS oncogene family(Rab40b)
217370	ENSMUSG00000039294	Mus musculus	cDNA sequence BC017643(BC017643)
208292	ENSMUSG00000024298	Mus musculus	zinc finger protein 871(Zfp871)
270004	ENSMUSG00000048377	Mus musculus	forkhead box I2(Foxi2)
216238	ENSMUSG00000036499	Mus musculus	early endosome antigen 1(Eea1)
73024	ENSMUSG00000055943	Mus musculus	ER membrane protein complex subunit 7(Emc7)
217342	ENSMUSG00000020802	Mus musculus	ubiquitin-conjugating enzyme E2O(Ube2o)
217341	ENSMUSG00000070331	Mus musculus	glutamine rich 2(Qrich2)
217344	ENSMUSG00000020806	Mus musculus	rhomboid 5 homolog 2(Rhbdf2)
217340	ENSMUSG00000052949	Mus musculus	ring finger protein 157(Rnf157)
208285	ENSMUSG00000091586	Mus musculus	cytochrome P450, family 4, subfamily f, polypeptide 17(Cyp4f17)
76409	ENSMUSG00000101113	Mus musculus	RIKEN cDNA 1700025B11 gene(1700025B11Rik)
76408	ENSMUSG00000020865	Mus musculus	ATP-binding cassette, sub-family C (CFTR/MRP), member 3(Abcc3)
76407	ENSMUSG00000027480	Mus musculus	Sad1 and UNC84 domain containing 5(Sun5)
76406	ENSMUSG00000040340	Mus musculus	RIKEN cDNA 1700019B03 gene(1700019B03Rik)
76405	ENSMUSG00000031809	Mus musculus	RIKEN cDNA 1700018B08 gene(1700018B08Rik)
98766	ENSMUSG00000036352	Mus musculus	ubiquitin associated domain containing 1(Ubac1)
76400	ENSMUSG00000047104	Mus musculus	phosphatidylethanolamine binding protein 2(Pbp2)
83921	ENSMUSG00000024754	Mus musculus	transmembrane protein 2(Tmem2)
83922	ENSMUSG00000029790	Mus musculus	centrosomal protein 41(Cep41)
216225	ENSMUSG00000020062	Mus musculus	solute carrier family 5 (iodide transporter), member 8(Slc5a8)
83925	ENSMUSG00000038679	Mus musculus	trichorhinophalangeal syndrome I (human)(Trps1)
83924	ENSMUSG00000021306	Mus musculus	G protein-coupled receptor 137B(Gpr137b)
217356	ENSMUSG00000050106	Mus musculus	transmembrane channel-like gene family 8(Tmc8)
217353	ENSMUSG00000025572	Mus musculus	transmembrane channel-like gene family 6(Tmc6)
384763	ENSMUSG00000054893	Mus musculus	zinc finger protein 667(Zfp667)
217351	ENSMUSG00000025571	Mus musculus	trinucleotide repeat containing 6C(Tnrc6c)
98752	ENSMUSG00000038421	Mus musculus	Fc receptor-like A(Fcrla)
73040	ENSMUSG00000099696	Mus musculus	RIKEN cDNA 2900052N01 gene(2900052N01Rik)
98758	ENSMUSG00000042079	Mus musculus	heterogeneous nuclear ribonucleoprotein F(Hnrnpf)
73046	ENSMUSG00000021102	Mus musculus	glutaredoxin 5(Glrx5)
208263	ENSMUSG00000026466	Mus musculus	torsin A interacting protein 1(Tor1aip1)
73072	ENSMUSG00000064125	Mus musculus	proline rich 36(Prr36)
384775	ENSMUSG00000039174	Mus musculus	RIKEN cDNA 1700003H04 gene(1700003H04Rik)
208266	ENSMUSG00000061589	Mus musculus	DOT1-like, histone H3 methyltransferase (S. cerevisiae)(Dot1l)
83945	ENSMUSG00000004069	Mus musculus	DnaJ heat shock protein family (Hsp40) member A3(Dnaja3)
73078	ENSMUSG00000029017	Mus musculus	peptidase (mitochondrial processing) beta(Pmpcb)
73075	ENSMUSG00000078451	Mus musculus	peptidylprolyl isomerase (cyclophilin)-like 6(Ppil6)
104099	ENSMUSG00000039115	Mus musculus	integrin alpha 9(Itga9)
98741	ENSMUSG00000092083	Mus musculus	potassium voltage gated channel, Shab-related subfamily, member 2(Kcnb2)
105148	ENSMUSG00000037851	Mus musculus	isoleucine-tRNA synthetase(Iars)
215031	ENSMUSG00000049641	Mus musculus	vestigial like family member 2(Vgll2)
384783	ENSMUSG00000038894	Mus musculus	insulin receptor substrate 2(Irs2)
208258	ENSMUSG00000047034	Mus musculus	ankyrin repeat domain 33(Ankrd33)
83946	ENSMUSG00000032253	Mus musculus	pleckstrin homology domain interacting protein(Phip)
73067	ENSMUSG00000025521	Mus musculus	transmembrane protein 192(Tmem192)
73068	ENSMUSG00000039357	Mus musculus	fucosyltransferase 11(Fut11)
104080	ENSMUSG00000040258	Mus musculus	neurexophilin 4(Nxph4)
73062	ENSMUSG00000033819	Mus musculus	protein phosphatase 1, regulatory (inhibitor) subunit 16A(Ppp1r16a)
98733	ENSMUSG00000026211	Mus musculus	obscurin-like 1(Obsl1)
104082	ENSMUSG00000040560	Mus musculus	WD repeat domain 7(Wdr7)
98736	ENSMUSG00000055833	Mus musculus	RIKEN cDNA 1700034H15 gene(1700034H15Rik)
104086	ENSMUSG00000026170	Mus musculus	cytochrome P450, family 27, subfamily a, polypeptide 1(Cyp27a1)
98732	ENSMUSG00000039318	Mus musculus	RAB3 GTPase activating protein subunit 2(Rab3gap2)
215001	ENSMUSG00000071192	Mus musculus	WAP, FS, Ig, KU, and NTR-containing protein 1(Wfikkn1)
73090	ENSMUSG00000030385	Mus musculus	RIKEN cDNA 2900092C05 gene(2900092C05Rik)
73094	ENSMUSG00000028524	Mus musculus	SH3-domain GRB2-like (endophilin) interacting protein 1(Sgip1)
83961	ENSMUSG00000032311	Mus musculus	neuregulin 4(Nrg4)
73095	ENSMUSG00000002346	Mus musculus	solute carrier family 25, member 42(Slc25a42)
83962	ENSMUSG00000025103	Mus musculus	BTB (POZ) domain containing 1(Btbd1)
83965	ENSMUSG00000023960	Mus musculus	ectonucleotide pyrophosphatase/phosphodiesterase 5(Enpp5)
